15915,429
15951,226
15954,287
15959,534
15966,630
15987,341
15989,242
15996,148
16005,263
16009,558
16016,319
16024,861
16045,802
16047,930
16074,396
16120,177
16136,816
16137,355
16146,486
16155,815
16173,129
16180,163
16197,165
16200,749
16219,834
16255,336
16310,261
16318,472
16331,17
16334,556
16339,736
16343,898
16345,823
16357,726
16360,606
16361,477
16365,725
16368,249
16377,70
16395,895
16407,794
16414,245
16445,503
16552,361
16553,55
16560,201
16576,562
16605,113
16648,926
16661,357
16673,884
16679,792
16711,117
16726,860
16772,114
16777,729
16783,255
16788,836
16822,928
16831,187
16834,788
16842,401
16849,780
16854,851
16871,532
16875,684
16898,826
16927,837
16939,84
16941,87
16969,465
16975,868
16980,259
17005,763
17031,353
17075,671
17093,902
17100,164
17105,250
17122,857
17136,515
17141,40
17151,210
17153,765
17169,645
17171,62
17174,881
17191,859
17233,386
17240,537
17243,85
17247,97
17262,173
17299,442
17305,82
17315,552
17337,363
17342,745
17367,686
17381,195
17388,229
17389,416
17492,755
17494,24
17511,854
17537,454
17577,302
17618,317
17621,584
17639,605
17648,180
17660,223
17716,760
17764,723
17766,80
17768,596
17792,732
17797,649
17812,771
17818,555
17829,916
17838,304
17846,728
17856,171
17862,626
17892,338
17902,805
17916,427
17918,625
17919,658
17941,290
17944,539
17949,61
17950,207
17958,252
17971,43
18001,95
18021,307
18032,343
18041,150
18044,919
18053,170
18074,657
18086,528
18087,871
18104,864
18111,436
18143,154
18146,238
18160,852
18162,567
18165,522
18176,957
18191,464
18210,399
18217,850
18220,578
18313,659
18320,853
18335,824
18336,293
18337,183
18341,540
18342,948
18414,30
18418,104
18432,875
18677,811
18723,49
18726,453
18736,211
18797,140
18798,379
18800,134
18803,517
18806,531
18808,768
18809,675
18825,720
18827,893
18846,918
18869,71
18881,527
18893,218
18930,530
18944,206
18947,265
18970,904
19991,273
20023,685
20038,461
20039,151
20042,701
20061,557
20098,708
20108,707
20109,107
20113,616
20135,430
20172,456
20186,662
20191,687
20196,146
20201,683
20218,364
20249,637
20258,777
20260,467
20264,147
20277,305
20280,545
20285,413
20293,487
20303,938
20308,624
20323,182
20343,863
20351,896
20355,460
20360,485
20365,524
20373,889
20374,521
20378,855
20379,561
20400,716
20407,504
20420,602
20424,786
20428,44
20429,127
20438,619
20445,94
20461,774
20462,243
20467,92
20493,715
20534,25
20558,103
20559,202
20566,722
20568,186
20595,27
20612,344
20631,879
20636,142
20640,483
20644,931
20669,660
20708,240
20715,168
20727,476
20771,650
20786,523
20810,613
20829,573
20852,943
20870,634
20891,86
20897,579
20922,78
20940,75
20949,128
20956,582
20970,196
20987,727
21030,116
21036,666
21042,862
21046,362
21075,438
21087,234
21117,174
21127,54
21139,569
21147,817
21155,74
21158,18
21195,903
21214,374
21224,411
21225,912
21249,692
21283,449
21286,404
21294,59
21304,11
21321,367
21336,425
21365,60
21385,398
21396,237
21404,468
21415,270
21420,718
21445,635
21462,409
21470,135
21473,407
21487,2
21493,714
21507,554
21520,32
21538,10
21566,506
21591,739
21614,617
21633,493
21682,352
21683,366
21707,620
21713,0
21755,12
21763,542
21771,570
21772,922
21777,944
21786,470
21795,615
21844,262
21851,311
21852,887
21931,447
21937,121
21938,271
22003,813
22008,812
22010,38
22020,437
22023,587
22048,656
22064,713
22099,946
22124,654
23315,705
23327,446
23331,700
23333,197
23356,691
